stop_id,bas_road_marking,bench,board_sign,bus,no_objects,rumble_strips,shelter,stop_sign,street_light,trash_bin,zebra_crossing
1000002,0,0,0,0,0,1,0,0,1,0,0
1000003,0,0,1,0,0,0,0,0,0,0,0
1000004,1,0,0,0,0,0,1,0,2,1,0
1000007,0,0,1,0,0,0,0,0,0,0,0
1000009,0,1,0,0,0,1,1,0,0,0,0
1000014,0,0,0,0,0,0,1,1,0,0,0
1000016,0,1,0,0,0,0,1,0,0,1,0
1000018,0,0,0,0,1,0,0,0,0,0,0
1000024,0,1,0,0,0,0,1,1,1,0,0
1000025,0,1,0,0,0,0,1,1,0,0,0
1000026,0,1,0,0,0,0,1,0,1,0,0
1000027,1,1,0,0,0,0,1,0,0,0,0
1000028,0,0,0,0,1,0,0,0,0,0,0
1000029,0,0,0,0,0,0,0,0,1,0,0
1000031,1,1,0,0,0,0,1,0,1,1,0
1000032,1,1,0,0,0,0,1,1,2,0,0
1000036,0,0,0,0,1,0,0,0,0,0,0
1000041,0,1,1,0,0,0,1,0,0,1,0
1000042,0,1,0,0,0,0,1,0,1,0,0
1000043,0,0,1,0,0,0,0,0,0,0,0
1000044,0,0,0,0,0,0,0,0,1,0,0
1000046,0,0,0,0,1,0,0,0,0,0,0
1000047,0,0,0,0,0,0,0,0,3,0,1
1000048,0,0,0,0,1,0,0,0,0,0,0
1000049,0,0,0,0,0,0,0,0,1,0,0
1000051,1,0,0,0,0,0,1,0,2,0,0
1000052,0,0,0,0,0,0,1,1,4,0,0
1000053,0,1,0,0,1,0,1,1,0,0,0
1000060,0,0,0,0,0,0,0,0,1,0,0
1000061,0,0,1,0,0,0,1,0,0,0,0
1000062,0,1,0,0,0,0,1,0,0,0,0
1000063,0,2,0,0,0,0,1,0,0,0,0
1000064,0,1,0,0,0,0,1,0,0,0,0
1000066,0,0,1,0,0,0,0,1,0,0,0
1000067,0,0,1,0,0,0,0,1,0,0,0
1000070,0,0,0,0,0,0,0,0,1,0,0
1000072,0,0,0,0,1,0,0,0,0,0,0
1000073,0,0,0,0,0,0,0,0,1,0,0
1000074,0,3,1,0,0,0,1,1,0,0,0
1000075,0,0,0,0,1,0,0,0,0,0,0
1000076,1,2,0,0,0,0,1,0,0,0,0
1000077,0,0,0,0,0,0,0,0,1,0,0
1000078,0,1,0,0,0,0,1,0,1,0,0
1000080,0,0,0,0,1,0,0,0,0,0,0
1000081,0,0,0,0,1,0,0,0,0,0,0
1000082,0,0,0,0,0,0,0,0,2,0,0
1000083,0,0,0,0,2,0,0,0,0,0,0
1000084,0,1,1,0,0,0,1,0,0,1,0
1000085,0,0,0,1,0,0,0,0,1,0,0
1000087,0,0,1,0,0,0,0,0,0,0,0
1000088,1,1,0,0,0,0,1,0,1,1,0
1000091,1,0,1,0,0,0,0,1,4,0,0
1000094,0,1,0,1,0,0,1,0,1,0,0
1000095,0,1,0,0,0,0,1,0,0,0,0
1000096,0,0,0,0,0,0,2,0,0,0,0
1000098,0,1,0,0,0,0,1,0,0,0,0
1000103,1,1,0,0,0,0,1,0,0,1,0
1000104,0,0,0,0,0,0,0,0,3,0,0
1000105,0,0,1,0,0,0,0,1,0,0,0
1000106,0,0,0,0,0,0,1,0,1,2,0
1000108,0,1,0,0,0,0,1,1,0,0,0
1000110,1,1,0,0,0,0,1,1,2,0,0
1000111,0,1,0,0,0,0,1,0,0,0,0
1000112,0,0,1,0,0,0,0,0,0,0,0
1000116,0,1,1,0,0,0,1,0,0,0,0
1000117,0,0,0,0,0,1,1,0,0,0,0
1000118,1,1,0,0,0,1,1,0,0,1,0
1000119,1,1,1,0,1,1,1,0,0,1,0
1000122,0,1,0,0,0,0,1,0,0,0,0
1000125,0,0,0,0,0,0,1,1,0,0,0
1000127,1,1,0,0,0,0,1,1,0,0,0
1000128,0,0,0,0,0,2,0,0,0,0,0
1000129,0,1,0,0,0,0,1,0,0,0,0
1000132,1,1,1,0,0,1,1,1,0,0,0
1000133,0,1,0,0,0,0,1,0,0,1,0
1000134,0,0,1,0,0,0,0,1,0,0,0
1000135,1,1,0,0,0,1,1,0,1,0,0
1000136,0,0,0,0,1,0,0,0,0,0,0
1000137,0,1,0,0,0,1,1,0,0,0,0
1000138,0,1,0,0,0,0,1,0,1,0,0
1000139,0,1,0,0,0,0,1,0,0,0,0
1000141,0,1,1,0,0,0,1,0,2,0,0
1000142,0,1,0,0,0,0,1,0,0,0,0
1000143,0,1,0,0,0,1,1,0,0,0,0
1000144,0,0,0,0,0,2,0,0,1,0,0
1000146,0,1,0,0,0,0,1,0,2,1,0
