stop_id,YOLOv8,bench,board_sign,bus,cctv,road_marking_sign,shelter,stop_sign,street_light,trash_bin,quality_score_raw,quality_score_10
1000002,0,0,0,0,0,1,1,0,1,0,3,4.285714285714286
1000003,1,0,1,0,0,1,0,0,0,1,3,4.285714285714286
1000004,0,1,0,0,0,0,1,0,1,1,4,5.7142857142857135
1000007,0,0,1,0,0,0,0,0,0,1,2,2.8571428571428568
1000009,0,1,0,0,0,1,1,0,0,0,3,4.285714285714286
1000014,0,1,0,0,0,0,1,0,0,0,2,2.8571428571428568
1000016,0,1,0,0,0,0,1,0,0,1,3,4.285714285714286
1000018,0,0,0,2,0,0,0,0,0,0,0,0.0
1000024,0,0,1,0,0,0,1,0,1,0,3,4.285714285714286
1000025,0,0,0,0,0,0,1,0,1,0,2,2.8571428571428568
1000026,0,1,0,0,0,0,1,0,1,0,3,4.285714285714286
1000027,0,1,0,0,0,1,0,0,1,0,3,4.285714285714286
1000028,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000029,0,0,0,0,1,0,0,1,1,0,2,2.8571428571428568
1000031,0,1,0,1,0,1,1,0,0,1,4,5.7142857142857135
1000032,0,0,0,0,0,0,1,0,1,0,2,2.8571428571428568
1000036,0,1,0,0,0,0,1,0,0,0,2,2.8571428571428568
1000041,0,0,1,0,0,0,0,0,0,0,1,1.4285714285714284
1000042,0,1,0,0,0,0,1,0,1,0,3,4.285714285714286
1000043,0,0,1,0,0,0,1,0,1,0,3,4.285714285714286
1000044,0,0,0,0,0,0,1,0,0,0,1,1.4285714285714284
1000046,0,0,0,0,0,0,1,0,1,1,3,4.285714285714286
1000047,0,0,0,0,0,0,1,0,0,0,1,1.4285714285714284
1000049,0,0,0,0,0,0,1,0,1,0,2,2.8571428571428568
1000051,0,0,0,0,0,0,1,0,1,0,2,2.8571428571428568
1000052,0,0,0,3,0,0,0,0,1,0,1,1.4285714285714284
1000053,0,1,0,0,0,0,1,1,1,0,4,5.7142857142857135
1000060,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000062,0,1,0,1,0,0,1,0,1,0,3,4.285714285714286
1000063,0,1,0,1,0,0,1,0,0,0,2,2.8571428571428568
1000064,0,1,0,0,0,0,1,0,1,0,3,4.285714285714286
1000066,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000067,0,0,1,0,0,0,1,0,1,0,3,4.285714285714286
1000070,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000072,0,0,0,1,0,0,0,0,1,0,1,1.4285714285714284
1000073,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000074,0,1,0,0,0,0,1,0,0,0,2,2.8571428571428568
1000075,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000076,0,1,0,0,0,0,1,0,1,0,3,4.285714285714286
1000078,0,1,0,0,0,0,1,0,0,0,2,2.8571428571428568
1000081,0,0,0,0,0,1,0,0,0,0,1,1.4285714285714284
1000082,0,0,0,0,0,0,1,0,0,0,1,1.4285714285714284
1000083,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000084,0,1,0,0,0,0,1,0,1,0,3,4.285714285714286
1000085,0,1,0,0,0,0,0,0,1,0,2,2.8571428571428568
1000087,0,0,1,0,0,0,0,1,1,0,3,4.285714285714286
1000088,0,1,0,0,0,1,0,0,1,0,3,4.285714285714286
1000091,0,0,1,0,0,0,0,0,1,0,2,2.8571428571428568
1000094,0,0,0,2,0,1,1,0,0,1,3,4.285714285714286
1000095,0,0,0,0,0,1,0,0,0,1,2,2.8571428571428568
1000096,0,0,0,0,0,1,0,0,0,0,1,1.4285714285714284
1000098,0,1,0,0,0,0,1,0,1,0,3,4.285714285714286
1000103,0,1,0,0,0,1,1,0,0,0,3,4.285714285714286
1000104,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000105,0,0,1,0,0,0,0,0,0,0,1,1.4285714285714284
1000106,0,0,0,0,0,0,1,0,0,0,1,1.4285714285714284
1000108,0,1,0,0,0,0,1,0,0,0,2,2.8571428571428568
1000110,0,1,0,0,0,0,1,0,1,0,3,4.285714285714286
1000111,0,1,1,0,0,0,1,0,1,0,4,5.7142857142857135
1000116,0,1,1,0,0,0,1,1,1,0,5,7.142857142857143
1000117,0,0,0,0,0,1,0,0,0,0,1,1.4285714285714284
1000118,0,0,1,0,0,1,1,1,0,0,4,5.7142857142857135
1000119,0,1,1,0,0,1,1,1,0,0,5,7.142857142857143
1000122,0,1,1,0,0,0,1,0,0,0,3,4.285714285714286
1000125,0,1,0,0,0,0,1,1,1,0,4,5.7142857142857135
1000127,0,1,0,0,0,1,1,1,1,0,5,7.142857142857143
1000128,0,1,0,0,0,1,1,0,1,0,4,5.7142857142857135
1000129,0,0,0,0,0,1,1,0,1,0,3,4.285714285714286
1000132,0,1,1,0,0,1,1,1,0,0,5,7.142857142857143
1000133,0,1,0,0,0,1,1,0,0,1,4,5.7142857142857135
1000134,0,0,1,0,0,0,0,0,1,0,2,2.8571428571428568
1000135,0,1,1,0,0,1,1,0,1,0,5,7.142857142857143
1000136,0,0,0,0,0,0,0,1,0,0,1,1.4285714285714284
1000137,0,0,0,1,0,1,1,0,0,0,2,2.8571428571428568
1000138,0,1,0,0,0,0,1,0,1,0,3,4.285714285714286
1000139,0,1,0,0,0,0,1,0,1,0,3,4.285714285714286
1000141,0,1,1,0,0,0,1,0,1,0,4,5.7142857142857135
1000142,0,1,0,0,0,0,1,0,0,0,2,2.8571428571428568
1000143,0,0,0,0,0,1,0,0,0,0,1,1.4285714285714284
1000144,0,0,0,1,0,1,0,0,1,0,2,2.8571428571428568
1000145,0,0,0,1,0,1,0,0,1,0,2,2.8571428571428568
1000146,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000147,0,1,0,0,0,0,1,0,1,0,3,4.285714285714286
1000148,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000149,0,0,0,0,0,0,1,0,0,0,1,1.4285714285714284
1000150,0,0,0,0,0,1,0,0,0,0,1,1.4285714285714284
1000151,0,1,0,0,0,0,1,0,0,0,2,2.8571428571428568
1000154,0,0,1,0,0,0,0,1,1,0,3,4.285714285714286
1000157,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000160,0,1,0,0,0,1,0,0,0,0,2,2.8571428571428568
1000161,0,1,0,0,0,0,1,0,0,1,3,4.285714285714286
1000162,0,1,0,0,0,0,1,0,0,1,3,4.285714285714286
1000165,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000166,0,1,0,0,0,0,0,0,0,0,1,1.4285714285714284
1000169,0,1,0,0,0,1,1,0,1,0,4,5.7142857142857135
1000174,0,1,0,0,0,1,1,0,1,1,5,7.142857142857143
1000175,0,1,0,0,0,0,1,0,0,1,3,4.285714285714286
1000176,0,0,0,0,0,1,0,0,1,0,2,2.8571428571428568
1000179,0,1,0,0,0,0,0,1,0,0,2,2.8571428571428568
1000180,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000181,0,0,0,0,0,0,1,0,1,0,2,2.8571428571428568
1000182,0,1,0,0,0,0,1,0,1,1,4,5.7142857142857135
1000183,0,0,1,0,0,0,1,0,1,0,3,4.285714285714286
1000184,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000185,0,0,0,0,0,1,1,0,0,0,2,2.8571428571428568
1000186,0,1,0,0,0,1,1,0,0,0,3,4.285714285714286
1000189,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000192,0,0,0,0,0,0,1,0,1,0,2,2.8571428571428568
1000193,0,0,0,1,0,0,0,0,0,0,0,0.0
1000194,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000195,0,1,0,0,0,0,1,0,1,0,3,4.285714285714286
1000196,0,1,0,0,0,1,1,0,1,0,4,5.7142857142857135
1000197,0,1,1,0,0,1,1,0,1,1,6,8.571428571428571
1000198,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000200,0,1,0,0,0,0,1,0,1,0,3,4.285714285714286
1000203,0,0,0,0,0,1,1,0,1,1,4,5.7142857142857135
1000204,0,0,0,0,0,0,0,1,0,0,1,1.4285714285714284
1000205,0,0,0,0,0,1,1,0,0,0,2,2.8571428571428568
1000207,0,0,1,0,0,0,0,0,1,0,2,2.8571428571428568
1000208,0,0,1,0,0,0,0,0,1,0,2,2.8571428571428568
1000209,0,1,0,0,0,0,1,0,1,0,3,4.285714285714286
1000211,0,0,0,0,0,0,1,0,0,0,1,1.4285714285714284
1000212,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000216,0,1,0,0,0,1,1,0,0,0,3,4.285714285714286
1000217,0,1,0,0,0,1,1,0,1,0,4,5.7142857142857135
1000220,0,0,0,1,0,0,0,0,0,0,0,0.0
1000223,0,1,1,0,0,0,1,0,0,1,4,5.7142857142857135
1000224,0,0,0,7,0,1,0,0,0,0,1,1.4285714285714284
1000225,0,0,0,0,0,0,1,0,0,0,1,1.4285714285714284
1000226,0,0,0,5,0,0,0,0,0,0,0,0.0
1000228,0,1,1,0,0,0,1,0,1,1,5,7.142857142857143
1000230,0,1,0,0,0,1,1,0,0,1,4,5.7142857142857135
1000231,0,0,0,0,0,0,1,0,1,1,3,4.285714285714286
1000232,0,1,0,0,0,0,1,0,0,0,2,2.8571428571428568
1000234,0,0,0,0,0,0,1,0,1,0,2,2.8571428571428568
1000236,0,1,1,0,0,0,1,1,0,0,4,5.7142857142857135
1000237,0,1,0,2,0,0,1,0,0,0,2,2.8571428571428568
1000238,0,1,0,1,0,0,1,0,1,1,4,5.7142857142857135
1000240,0,0,0,0,0,1,0,0,1,0,2,2.8571428571428568
1000241,0,0,0,0,0,1,0,0,1,0,2,2.8571428571428568
1000246,0,1,0,0,0,0,1,0,0,0,2,2.8571428571428568
1000247,0,1,1,0,0,0,1,0,1,0,4,5.7142857142857135
1000248,0,0,1,0,0,0,0,0,0,0,1,1.4285714285714284
1000249,0,0,0,0,0,0,1,0,1,0,2,2.8571428571428568
1000250,0,0,0,0,0,0,0,0,1,1,2,2.8571428571428568
1000254,0,1,0,0,0,1,1,0,0,0,3,4.285714285714286
1000255,0,0,0,0,0,1,0,0,1,0,2,2.8571428571428568
1000258,0,1,0,0,0,0,1,0,0,0,2,2.8571428571428568
1000259,0,0,0,0,0,0,1,0,1,0,2,2.8571428571428568
1000260,0,0,0,0,0,1,1,0,1,0,3,4.285714285714286
1000261,0,1,0,0,0,0,1,0,1,0,3,4.285714285714286
1000263,0,0,0,0,0,0,1,0,0,0,1,1.4285714285714284
1000264,0,1,0,0,1,0,1,0,1,0,3,4.285714285714286
1000265,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000266,0,1,0,0,0,0,1,0,0,0,2,2.8571428571428568
1000270,0,0,0,0,0,0,1,0,1,0,2,2.8571428571428568
1000273,0,0,0,2,0,0,0,0,0,0,0,0.0
1000274,0,0,0,0,0,0,1,0,0,0,1,1.4285714285714284
1000275,0,1,0,0,0,0,1,0,1,0,3,4.285714285714286
1000276,0,1,0,0,0,1,1,0,1,0,4,5.7142857142857135
1000278,0,1,1,0,0,1,1,0,1,1,6,8.571428571428571
1000279,0,1,0,0,0,0,1,0,0,1,3,4.285714285714286
1000284,0,0,0,0,0,1,1,1,0,0,3,4.285714285714286
1000285,0,1,0,0,0,1,1,0,1,1,5,7.142857142857143
1000286,0,1,0,0,0,1,1,0,1,0,4,5.7142857142857135
1000287,0,0,0,1,0,0,1,0,1,1,3,4.285714285714286
1000289,0,1,0,0,0,0,1,0,0,0,2,2.8571428571428568
1000293,0,0,0,0,0,1,1,0,1,1,4,5.7142857142857135
1000295,0,1,0,1,0,0,0,0,1,0,2,2.8571428571428568
1000296,0,1,0,0,0,0,1,0,1,1,4,5.7142857142857135
1000297,0,1,0,0,0,1,1,0,1,1,5,7.142857142857143
1000298,0,1,0,0,0,0,1,0,0,1,3,4.285714285714286
1000299,0,0,0,1,0,0,1,0,0,0,1,1.4285714285714284
1000302,0,0,0,0,0,1,0,0,1,0,2,2.8571428571428568
1000303,0,1,0,0,0,0,1,0,1,1,4,5.7142857142857135
1000304,0,0,1,0,0,0,0,0,0,0,1,1.4285714285714284
1000307,0,1,0,0,0,1,1,0,1,1,5,7.142857142857143
1000308,0,0,0,0,0,1,1,0,0,0,2,2.8571428571428568
1000309,0,1,0,0,0,0,0,0,1,0,2,2.8571428571428568
1000311,0,0,0,5,0,0,1,0,0,0,1,1.4285714285714284
1000312,0,1,0,0,0,1,1,0,1,0,4,5.7142857142857135
1000313,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000314,0,1,0,0,0,1,1,0,0,0,3,4.285714285714286
1000315,0,0,0,1,0,1,0,1,0,0,2,2.8571428571428568
1000316,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000320,0,1,0,0,0,1,1,0,0,0,3,4.285714285714286
1000321,0,0,0,1,0,0,0,0,0,0,0,0.0
1000323,0,0,0,0,0,0,1,0,1,0,2,2.8571428571428568
1000326,0,0,0,0,0,0,0,1,0,0,1,1.4285714285714284
1000327,0,0,0,0,0,1,1,0,1,0,3,4.285714285714286
1000328,0,1,0,0,0,1,1,0,1,1,5,7.142857142857143
1000330,0,1,0,0,0,1,1,0,0,1,4,5.7142857142857135
1000335,0,1,1,0,0,1,1,0,1,1,6,8.571428571428571
1000337,0,1,0,0,0,1,1,0,0,1,4,5.7142857142857135
1000338,0,0,1,0,0,0,1,0,1,1,4,5.7142857142857135
1000339,0,1,0,0,0,0,1,0,0,1,3,4.285714285714286
1000341,0,1,0,0,0,1,1,1,0,0,4,5.7142857142857135
1000344,0,1,1,0,0,1,1,0,0,0,4,5.7142857142857135
1000345,0,0,0,0,0,0,1,0,0,0,1,1.4285714285714284
1000349,0,1,0,0,0,0,1,0,0,1,3,4.285714285714286
1000350,0,1,0,0,0,1,1,1,1,1,6,8.571428571428571
1000352,0,0,0,0,0,0,0,1,0,0,1,1.4285714285714284
1000353,0,1,0,0,0,0,1,0,1,0,3,4.285714285714286
1000354,0,0,0,0,0,1,1,0,1,1,4,5.7142857142857135
1000355,0,1,0,0,0,0,1,1,1,1,5,7.142857142857143
1000356,0,0,1,0,0,0,0,0,1,0,2,2.8571428571428568
1000357,0,1,1,0,0,1,1,0,1,0,5,7.142857142857143
1000358,0,1,0,0,0,0,1,0,1,1,4,5.7142857142857135
1000359,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000360,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000362,0,0,0,0,0,0,1,0,0,1,2,2.8571428571428568
1000364,0,0,0,0,0,0,1,0,1,1,3,4.285714285714286
1000365,0,1,0,0,0,0,1,0,0,0,2,2.8571428571428568
1000366,0,1,0,0,0,0,1,0,1,1,4,5.7142857142857135
1000367,0,0,0,2,0,0,1,0,0,0,1,1.4285714285714284
1000368,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000369,0,1,0,2,0,0,1,0,1,0,3,4.285714285714286
1000373,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000374,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000382,0,0,0,0,0,1,1,0,1,0,3,4.285714285714286
1000383,0,0,0,1,0,0,0,0,0,0,0,0.0
1000387,0,1,0,0,0,0,1,0,1,0,3,4.285714285714286
1000388,0,1,0,0,0,0,1,0,1,1,4,5.7142857142857135
1000390,0,0,0,0,0,0,1,0,1,0,2,2.8571428571428568
1000392,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000393,0,1,0,0,0,0,0,0,1,0,2,2.8571428571428568
1000394,0,0,0,0,0,0,1,0,1,0,2,2.8571428571428568
1000395,0,1,0,0,0,1,1,0,1,1,5,7.142857142857143
1000396,0,0,0,0,0,0,1,1,1,0,3,4.285714285714286
1000397,0,1,0,0,0,0,1,1,1,0,4,5.7142857142857135
1000400,0,1,0,0,0,0,1,0,1,0,3,4.285714285714286
1000401,0,0,0,0,0,0,1,0,1,0,2,2.8571428571428568
1000402,0,1,0,0,0,1,1,0,0,0,3,4.285714285714286
1000405,0,0,0,0,0,1,0,0,0,0,1,1.4285714285714284
1000408,0,0,1,0,0,0,0,1,1,1,4,5.7142857142857135
1000409,0,1,1,0,0,1,1,1,0,0,5,7.142857142857143
1000410,0,1,0,0,0,1,1,0,0,1,4,5.7142857142857135
1000411,0,1,1,0,0,1,1,1,0,1,6,8.571428571428571
1000412,0,1,1,0,0,0,1,1,0,0,4,5.7142857142857135
1000413,0,1,0,0,0,1,1,0,0,0,3,4.285714285714286
1000414,0,0,1,0,0,0,1,0,0,0,2,2.8571428571428568
1000415,0,0,0,0,0,0,1,1,0,0,2,2.8571428571428568
1000419,0,1,1,1,0,0,1,0,0,1,4,5.7142857142857135
1000420,0,0,0,0,0,0,0,0,1,1,2,2.8571428571428568
1000423,0,0,0,0,0,0,1,0,1,0,2,2.8571428571428568
1000425,0,1,0,0,0,1,1,0,1,1,5,7.142857142857143
1000427,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000429,0,0,0,0,0,0,1,0,1,0,2,2.8571428571428568
1000430,0,1,0,0,0,0,1,0,0,1,3,4.285714285714286
1000431,0,1,0,0,0,0,1,0,1,1,4,5.7142857142857135
1000432,0,0,1,1,0,0,1,0,1,0,3,4.285714285714286
1000433,0,0,0,0,0,0,1,0,1,0,2,2.8571428571428568
1000435,0,1,1,0,0,0,1,0,1,0,4,5.7142857142857135
1000436,0,1,0,0,0,0,1,0,1,0,3,4.285714285714286
1000437,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000438,0,1,0,1,0,0,0,0,1,0,2,2.8571428571428568
1000443,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000447,0,0,0,0,0,0,1,0,1,0,2,2.8571428571428568
1000449,0,1,0,0,0,0,1,0,0,0,2,2.8571428571428568
1000450,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000453,0,1,0,0,0,1,1,1,1,1,6,8.571428571428571
1000456,0,1,1,0,0,0,1,0,1,1,5,7.142857142857143
1000457,0,1,0,0,0,1,1,0,1,0,4,5.7142857142857135
1000458,0,0,0,0,0,1,1,0,1,0,3,4.285714285714286
1000459,0,1,0,0,0,1,1,0,1,1,5,7.142857142857143
1000460,0,0,0,0,0,0,1,0,1,0,2,2.8571428571428568
1000461,0,0,0,0,0,1,0,0,1,0,2,2.8571428571428568
1000462,0,1,0,0,0,0,1,0,1,1,4,5.7142857142857135
1000463,0,1,0,0,0,0,1,1,1,0,4,5.7142857142857135
1000464,0,1,0,0,0,1,1,0,1,0,4,5.7142857142857135
1000465,0,1,0,1,0,0,1,0,1,0,3,4.285714285714286
1000466,0,1,1,0,0,1,1,0,0,1,5,7.142857142857143
1000467,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000477,0,0,0,0,0,1,1,0,1,0,3,4.285714285714286
1000478,0,1,0,0,0,0,1,0,1,1,4,5.7142857142857135
1000479,0,0,0,0,0,0,0,0,1,0,1,1.4285714285714284
1000480,0,0,0,0,0,0,1,0,1,0,2,2.8571428571428568
